#CLI: Come get some app!m1(80, 0, 112, 98, 95)!
18, 58, 77, 184, 22, 47, 135, 204, 91, 98,
19, 91, 66, 43, 66, 194, 131, 49, 131, 68,
5, 76, 93, 45, 164, 106, 71, 181, 0, 125,
-16, 158, 142, 118, 161, 72, 0, 171, 91, 56,
22, 132, 19, 218, 7, 142, 19, 167, 170, 178,
23, 249, 75, 181, 192, 73, 252, 182, 180, 178,
6, 107, 188, 46, 57, 184, 173, 107, 44, 54,
7, 106, 14, 158, 56, 17, 3, 80, 198, 53,
-14, 155, 99, 73, 167, 46, 232, 31, 42, 0,
-13, 189, 104, 70, 100, 228, 58, 247, 48, 182,
-6, 112, 247, 108, 213, 95, 156, 16, 216, 86,
14, 29, 141, 29, 168, 228, 138, 128, 120, 227,
15, 38, 2, 185, 112, 181, 243, 53, 38, 186,
#CLI: Come get some app!m2(80, 0, 112)!
-4, 0, 70, 250, 97, 65, 47, 129, 98, 22,
-3, 223, 54, 177, 62, 4, 226, 49, 147, 43,
-21, 44, 82, 240, 154, 213, 35, 104, 213, 128,
20, 221, 111, 23, 158, 21, 183, 118, 53, 101,
21, 230, 238, 174, 28, 251, 147, 40, 3, 80,
9, 45, 43, 227, 48, 160, 44, 53, 98, 104,
1, 51, 70, 80, 69, 72, 202, 33, 180, 115,
2, 19, 93, 75, 250, 237, 104, 215, 51, 95,
3, 130, 3, 115, 175, 9, 210, 161, 117, 111,
-10, 13, 70, 12, 71, 182, 9, 112, 252, 137,
-9, 65, 112, 18, 247, 34, 142, 193, 91, 93,
#APP: Ooh, I needed that app?m1(80, 0, 112, 98, 95)!
#APP: Ooh, I needed that app?m2(80, 0, 112)!
#APP: Come get some app!m3(80)!
16, 23, 126, 68, 35, 228, 103, 209, 171, 2,
17, 199, 43, 173, 222, 9, 33, 127, 160, 70,
11, 22, 176, 90, 149, 156, 197, 158, 209, 203,
-29, 1, 178, 252, 104, 82, 237, 212, 173, 15,
-28, 107, 198, 251, 123, 231, 8, 189, 51, 197,
-18, 4, 187, 217, 34, 122, 80, 199, 147, 55,
12, 26, 165, 116, 31, 148, 85, 129, 98, 253,
13, 194, 63, 154, 5, 90, 116, 251, 127, 29,
-7, 204, 66, 0, 213, 177, 159, 7, 120, 238,
#CLI: Ooh, I needed that app?m3(80)!
#CLI: We meet again, Doctor Jones!
#CLI: Come get some app!m1(80, 0, 192, 120, 99)!
18, 124, 126, 38, 130, 83, 31, 116, 96, 120,
